Review,Ratings,Reviewer,Date_Posted,product_title,tcin_number,upc_number,item_number,artautomationid,sentiment_date,recommendation,negative,neutral,positive,emotion
my go to jeans for any occasion not too pricey and very durable while also being a comfortable fit get you right with a pair or 2,4.1 out of 5 stars with 147 reviews,Your public name,1 month ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.034129992,0.17063445,0.79523563,positive
i am having an issue with the jeans i always wear levis jeans i even went to levis to trail this jean it was all fine but when i order the same jean it looked all fine but when i wore that to an event i felt its little too tight on the hipswhich is unusual and cause me a discomfort i wish i get a replacement or a coupon so that i can buy the similar one going to levis store,5 out of 5 stars,Sai Krishna Babu,1 month ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.6548724,0.31723163,0.027895914,negative
pants are way too baggy at the front but tight in the back no clue if they are defective,1 out of 5 stars,Carlos,1 month ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.52799463,0.39073545,0.08126992,negative
great fit and love the flex of the jeans the taper leg is unique for me,1 out of 5 stars,Britt,3 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0025858223,0.010407967,0.98700625,positive
levis quality has really tanked terrible fabric,5 out of 5 stars,Mike d,4 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.9349962,0.045137346,0.019866373,negative
overall i was satisfied with these jeans i just wish they were available with a 29 inseam,2 out of 5 stars,n/a,4 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.025625773,0.33580393,0.63857037,positive
excellent fit like it was tailormade just for me ill be honest what would this world be without levis jeans,4 out of 5 stars,Randy J,4 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.013110749,0.024833666,0.96205556,positive
i love how these jeans fit but how is no one talking about the odor that seems to radiate from these jeans i purchased the black ones and the smell of dye and chemicals seems to be all i can smell while wearing them i have soaked them in vinegar as well as baking soda and i cant get this smell out has anyone else had this issue,5 out of 5 stars,Jay,5 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.4837332,0.2830101,0.23325665,negative
good jeans for a good price fit well good stretch the leg openings are a little tight for serious winter boots,2 out of 5 stars,LP,5 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0059212563,0.17269655,0.8213821,positive
the jeans are great really good quality and they fit well id definitely recommend them 55,5 out of 5 stars,Bran,6 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0022067637,0.009897727,0.98789555,positive
a little too tapered for my taste the 511 jeans fit much better with somewhat less taper below the knee,5 out of 5 stars,DA,6 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.20244187,0.6956172,0.10194088,neutral
great quality and fit and generally a decent price,3 out of 5 stars,LAGIGI,6 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0033240214,0.025620833,0.97105515,positive
have to say these are my favorite fitting jeans ever definitely buying more in all colors,5 out of 5 stars,Jay,6 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0033609048,0.003998111,0.9926409,positive
way too small bought 33 got 31 seems to be a running thing with levis,5 out of 5 stars,Emil T,6 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.7460057,0.2265369,0.027457323,negative
this is a christmas gift not for me so i cant honestly rate these,1 out of 5 stars,Unknown,6 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.7414423,0.1895218,0.06903585,negative
the fit the color the length were all perfect for me,3 out of 5 stars,Pant hunter,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.012285014,0.045462538,0.94225246,positive
the fit is slim without being too tight and the tapered leg is great for showing off sneakers or boots the stretch fabric is great making the jeans very comfortable the size is consistent with what i wear in other fits and the color was accurate based on the website if there is one complaint these sit a little higher on the waist than i usually wear,5 out of 5 stars,SkipTip,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.009548009,0.099086486,0.8913654,positive
ive worn levis since i was a teen always good quality and fit these are especially nice fitting,4 out of 5 stars,Cooper2005s,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0054797456,0.022860162,0.97166014,positive
great fit just restocking with 2 new pair for the rotation,5 out of 5 stars,Irish,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.005307991,0.020230247,0.97446173,positive
i love these jeans own several pair and going to buy more  ,5 out of 5 stars,Robert Radcliffe,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0029607308,0.008286333,0.98875296,positive
in simple words i love it the color is great and fits perfectly,5 out of 5 stars,Gerald,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.002614778,0.0072248513,0.99016035,positive
picture deceiving a lot darker than whats shown in the picture,5 out of 5 stars,Pat H.,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.68299377,0.29014397,0.02686216,negative
i loved the 520s since forever i and needed a replacement the only thing i needed was a normal waist on them not low rise these feel great and look great as replacements not as tapered at end as 520 were but tapered enough and not low rise im back on team levis thank you,1 out of 5 stars,Adrian,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.017512128,0.037206814,0.945281,positive
these are the most uncomfortable and cheaply made jeans i own after just wearing them twice the legs of the jeans loose their integrity and start to stretch so much that i have to roll them 34 times just so they dont bunch at my shoes i bought two pairs and its happening to both the quality of these jeans is awful and i will most likely never buy another levis product they dont make em like they used to,5 out of 5 stars,JG,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.98336804,0.012836418,0.0037955856,negative
i love how it fits perfectly and the color is amazing,1 out of 5 stars,Jay tab,7 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0026073433,0.0059534665,0.99143916,positive
does not fit the same fit is very similar to skinny jeans,5 out of 5 stars,Bob,8 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.94305503,0.053673774,0.0032711527,negative
there very comfortable and they dont fade away when you wash them like other jesns,1 out of 5 stars,Brian,8 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.02467513,0.113642275,0.86168265,positive
this is not 512 at all and feels like 510 skinny and looks like this already been washed received in a shipping bag without the plastic in it the red tab dont show levis i bought two 512 few weeks ago and i know this particular model  cools as a cucumber is not 512 jeans,5 out of 5 stars,XavierB.L.,9 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.894432,0.0893707,0.016197274,negative
perfect fit for 5 ft 7 inch tall not too skinny comfortable bought a size of 32x30,1 out of 5 stars,sid,10 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.008570457,0.024457008,0.96697253,positive
fit perfectly great look best value im set for autumn,5 out of 5 stars,,10 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0035961638,0.011033722,0.98537016,positive
these jeans looked great on my 16 year old son fantastic fit before washing the leg was not too slim but after one wash and dry the legs were super skinny like jeggings im assuming the jeans will stretch out a bit after wear but not enough to go back to how they were such a bummer,5 out of 5 stars,nicsweets,10 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.4192656,0.32989115,0.25084326,negative
order was late to begin with and on top of that received the item as a defect ruined the whole trip,1 out of 5 stars,Inayag,11 months ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.9008796,0.08247898,0.0166414,negative
im 60 185  these jeans are a perfect fit and color,1 out of 5 stars,Greg,1 year ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.009199476,0.019265532,0.97153497,positive
in love with them i have been looking for a black pair of jeans like this for long time,5 out of 5 stars,Alessandro,1 year ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.010364121,0.034086723,0.95554924,positive
they fit perfectly ill buy more of this style going further,5 out of 5 stars,Clhough,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.9322884,0.055631522,0.01208011,negative
i bought this a few weeks ago and i see a levis premium jean when i recibe found a regular jean of another color,5 out of 5 stars,Victor,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.4143389,0.25170094,0.3339602,negative
i ordered 30 inch inseam the first pair had an inseam of 28 12 inches the second pair had an inseam of 29 inches i give up,1 out of 5 stars,Judy11,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.79896474,0.16223682,0.03879842,negative
i bought the same pants same fit number and same size but different color from the store i saw a visible different between one one bought online and the one bought from store the fits were very off the material online felt soo cheap while the store one was soo much better i wouldnt suggest buying these online i see two probable problems here first maybe the quality control on these items is bad so the quality changes between suppliers second maybe levis knows that the quality is bad and sells the worse ones online and the better ones at store either way i wouldnt buy levis online again as much as i love shopping from the brand i do not recommend buying online,2 out of 5 stars,,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.87676454,0.10845589,0.014779556,negative
i always have to return and buy the same size in store dont know why your sizing is so inconsistent,1 out of 5 stars,Miguel,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.9207073,0.061434288,0.017858492,negative
great jeans really comfortable and true to size at a very reasonable price,1 out of 5 stars,Zack J,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.0019737063,0.007252698,0.9907736,positive
bought these to replace my 501 original fit black jeans they fit swell although not as thick as the 501 unfortunately however the 512 makes for a quality fitting well made pair of jeans,5 out of 5 stars,,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.08308853,0.3817569,0.5351546,positive
i bought these and the blue for my husband who is tall and slim and likes his jeans to fit well while they are a good fit for him he remarked on how flimsy they felt compared to the old 512s so i deducted one star if you want a heavier pair of pants you might look elsewhere my opinion they look great on him,5 out of 5 stars,crostini,2 years ago,Levi's® Men's 512™ Slim Fit Taper Jeans,79645717,194576178499,042-24-0798,7,7/1/2024,Would recommend,0.18571344,0.036965735,0.7773208,positive
